Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
0.856781,432.332927,1781.4659,2508.016808,2902.656947
0.863031,409.602452,2006.264517,2283.711319,2931.163627
0.869281,390.735449,1989.026629,2465.676402,2970.250656
0.875531,386.475892,1986.302293,2614.183101,2978.548814
0.881781,442.690329,1934.577267,2336.635625,3215.859452
0.888031,446.160858,1940.520227,2275.998666,3228.596685
0.894281,75.159016,1986.582328,2623.32971,3232.36515
0.900531,452.589177,1890.540077,2395.965373,3233.438784
0.906781,485.998532,1855.155587,2385.696364,3248.260918
0.913031,308.803954,1942.866422,2388.017487,3259.762334
0.919281,313.527196,2010.935494,2379.66293,3272.087806
0.925531,528.226047,1910.803496,2262.558369,3274.561208
0.931781,514.80114,1881.586855,2290.23405,3277.172141
0.938031,503.206051,1957.293764,2512.726945,3280.89423
0.944281,536.663563,1930.153618,2221.311076,3307.275879
0.950531,455.341316,1885.028767,2270.956251,3317.177419
0.956781,546.733881,1953.733709,2544.627762,3333.463128
0.963031,235.78584,1931.899153,2471.68274,3338.644196
0.969281,540.46869,1928.327801,2204.701272,3388.026112
0.975531,395.484544,1989.91632,2812.244486,3389.550939
0.981781,544.526312,1919.954404,2221.674436,3409.811677
0.988031,544.277471,1908.535368,2322.03623,3417.735022
0.994281,446.396528,1879.054213,2295.577548,3422.791507
1.000531,460.148649,2009.472078,2501.725541,3486.736936
1.006781,224.75266,1988.088695,2602.114003,3533.077142
1.013031,221.822464,1862.739687,2417.648816,3559.351824
1.019281,251.08736,1843.214159,2412.224806,3565.926445
1.025531,432.676782,1914.351167,2341.143244,3573.143615
1.031781,277.224807,1975.916494,2463.26003,3582.354276
1.038031,202.12228,1377.946524,2528.970561,3614.246502
1.044281,239.71038,1943.613589,2761.233499,3630.722424
1.050531,419.855763,1970.151309,2476.126657,3634.904096
1.056781,218.149825,1948.240103,2364.565837,3641.532731
1.063031,408.616714,1981.530336,2705.738779,3653.167941
1.069281,302.192849,2026.326426,2654.317004,3685.238055
1.075531,223.061193,1953.804197,2715.967514,3719.006681
1.081781,454.204493,1825.329769,2623.750956,3922.112575
1.088031,223.029526,1964.124647,2853.794004,3931.748297
1.094281,372.924991,1790.692375,2782.882918,4191.245942
1.100531,201.902535,1350.626907,2650.927331,4229.106155
1.106781,405.361724,1795.78239,2746.16944,4251.093208
1.113031,369.513349,1820.835074,2633.828056,4294.243975
1.119281,379.228588,1839.64735,2652.43847,4303.499621
1.125531,1150.041657,1972.199833,2715.60251,4303.756249
1.131781,251.27999,1917.914493,2936.672405,4314.426119
1.138031,381.656645,1797.270902,3152.543844,4330.51491
1.144281,422.71612,1681.26604,2730.87475,4334.764691
1.150531,343.553838,1837.146727,2781.887548,4376.275435
1.156781,378.040244,1841.827222,2731.24699,4385.539281
1.163031,371.352418,1835.068263,2671.476987,4426.354423
1.169281,1684.435888,2170.524116,3358.689772,4429.439628
1.175531,1654.949495,2805.023172,4328.175692,4456.798506
1.181781,268.14207,1875.86403,3018.59899,4477.15353
1.188031,445.793086,1723.636658,2735.229016,4560.69437
1.194281,405.652459,1676.005704,2754.506706,4586.992151
1.200531,248.03304,2003.979904,2763.599673,4596.326664
1.206781,1828.225523,2180.758519,3211.975675,4597.678381
1.213031,1794.115173,2097.590462,3428.450729,4652.181014
1.219281,1782.439752,2092.100659,3488.622541,4661.024259
1.225531,1996.553734,2369.304586,3220.1091,4713.662011
1.231781,1989.315375,2240.340913,3393.722653,4742.331134
1.238031,2066.009609,2625.403586,3283.043494,4756.609116
1.244281,1864.882975,2207.214015,3434.328783,4782.396351
1.250531,1981.402763,2646.506898,3470.122035,4786.357492
1.256781,1371.760595,2467.812768,3710.516092,4954.060736
1.263031,1363.072517,2404.616241,3599.319403,5013.61394
