Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
0.469515,350.576448,1768.17277,2427.719245,4506.069226
0.475765,388.936865,1794.576287,2471.281795,4551.045558
0.482015,393.836484,1775.203918,2475.329509,4665.392268
0.488265,414.783415,1777.567897,2492.327547,4700.771998
0.494515,354.915168,1702.930481,2497.287628,4714.260257
0.500765,268.412098,1847.061856,2519.000699,4646.05971
0.507015,398.755458,1815.669719,2524.436447,4741.360747
0.513265,481.194231,1840.580966,2558.325264,4739.085401
0.519515,359.106379,1913.078957,2566.679514,4660.379288
0.525765,327.627089,1735.251384,2574.186462,4721.404108
0.532015,369.346111,1688.254852,2605.292563,4744.13431
0.538265,388.692682,2081.802668,2618.58312,4782.843177
0.544515,390.561198,2080.658056,2621.13069,4820.452772
0.550765,324.986558,2035.458235,2621.914809,4767.262134
0.557015,395.1663,1851.355069,2627.47999,4756.302425
0.563265,370.813193,2073.324785,2634.102307,4731.725369
0.569515,344.51763,1768.573567,2638.699391,4796.199356
0.575765,279.629995,1937.544553,2641.249221,3413.912424
0.582015,392.87556,2076.338909,2650.665231,3480.295734
0.588265,321.723181,2066.148419,2653.354776,3534.737562
0.594515,350.415337,1737.19222,2657.238961,3570.984143
0.600765,345.5004,1833.493349,2666.350238,4387.605531
0.607015,391.311251,1866.738016,2684.121498,3703.399031
0.613265,364.247669,1972.156822,2694.941915,3468.924862
0.619515,359.802205,1769.496498,2695.079356,3469.510016
0.625765,367.306946,1902.587001,2706.057625,3476.109024
0.632015,387.741235,2087.500975,2708.295929,3518.995362
0.638265,366.413346,2088.097594,2717.914997,3508.582906
0.644515,345.734111,1830.033778,2718.063559,3523.018142
0.650765,371.316832,2072.419519,2718.680222,3497.775275
0.657015,373.165454,2090.644068,2718.853636,3463.589507
0.663265,328.301502,2051.274132,2720.46813,3471.57155
0.669515,375.927345,2076.207753,2724.397897,3539.310619
0.675765,344.835409,2047.882848,2727.221415,3588.985266
0.682015,337.917068,1793.769831,2732.127588,3581.142537
0.688265,355.338108,2008.972227,2732.677462,3571.023971
0.694515,299.249962,2040.238801,2737.003337,3557.456512
