Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
1.606498,682.296141,2082.395995,2655.650058,3444.199929
1.612748,705.278891,2100.009477,2620.510197,3384.052519
1.618998,694.732615,2076.849471,2495.683816,3288.464814
1.625248,688.828143,2066.211280,2604.574610,3300.470478
1.631498,725.404234,2065.407809,2646.531540,3398.641290
1.637748,819.211613,2116.118852,2565.142171,3469.519358
1.643998,848.004915,2067.142291,2651.524350,3514.060952
1.650248,663.843054,2043.042413,2662.817357,3547.837281
1.656498,623.636432,2022.425398,2503.909932,3545.747646
1.662748,610.675461,2036.459163,2411.595210,3516.373730
1.668998,442.079528,2046.031928,2539.290385,3450.909745
1.675248,394.699020,2057.713400,2520.095430,3430.949733
1.681498,403.020346,2001.225281,2378.331825,3499.041100
1.687748,407.198215,1982.060456,2374.813509,3527.487261
1.693998,408.687045,2036.343828,2636.185667,3470.614673
1.700248,412.387750,2038.720037,2518.028630,3462.079572
1.706498,415.004494,2048.770527,2413.477356,3495.624495
1.712748,420.970752,2063.070260,2458.386026,3449.597588
1.718998,422.366060,2065.666794,2526.287466,3427.295485
1.725248,422.215224,2062.165973,2592.587002,3375.886354
1.731498,415.462845,2048.248089,2585.285096,3281.153194
1.737748,408.649641,2023.652013,2556.942020,3163.922744
1.743998,377.193576,2004.220293,2498.109755,3080.800611
1.750248,2012.862849,2342.845698,2880.079245,4042.994777
1.756498,2027.234914,2492.198348,3326.415143,3863.751854
1.762748,189.028600,2022.756782,2562.070267,3669.161597
1.768998,195.779683,2020.624124,2775.512674,3700.145241
1.775248,195.544238,2020.307770,2815.645217,3923.670224
1.781498,203.389499,2068.424825,2682.690599,3782.679097
1.787748,216.860432,2025.061106,2444.596882,3709.110790
1.793998,203.081581,2021.088752,2381.005128,3724.252343
1.800248,188.346193,2053.935914,2289.750436,3317.459173
1.806498,243.654387,2049.303599,2492.313641,3262.923194
1.812748,347.072064,2025.307024,2935.058983,3637.259147
1.818998,375.400123,2078.785993,2887.485464,3690.015180
1.825248,707.828426,2024.856920,2920.522960,3743.310256
1.831498,395.448822,2018.783397,2796.991384,3847.339216
1.837748,168.077960,2059.913900,2825.546430,4072.666267
1.843998,188.396251,2029.702201,2944.744001,4175.806418
1.850248,224.646765,1866.800296,2482.982275,3708.853266
1.856498,363.732014,1745.326227,2452.487647,3702.015334
1.862748,363.585183,1793.769318,2472.298054,3561.616438
1.868998,359.314016,1833.958403,2546.194643,3582.753827
1.875248,362.462919,1833.025496,2497.931972,3520.053181
1.881498,375.721447,1798.334442,2515.618833,3465.643628
1.887748,414.323031,1776.958897,2446.198257,3467.419235
1.893998,459.962421,1731.675052,2314.129634,3527.230545
1.900248,480.680853,1657.664157,2264.035738,3496.874369
1.906498,510.100111,1421.785011,2276.364403,3510.067994
1.912748,576.648637,1899.093050,2396.620199,3717.165762
1.918998,552.269877,1827.599329,2786.453360,3669.321747
1.925248,504.676378,1839.492138,2897.627205,3593.460482
